work_local,position_link,position_type,position_name,publish_times,position_number
广州,position_detail.php?id=39131&keywords=&tid=0&lid=0,技术类,WXG03-122 微信开放平台算法工程师（广州）,2018-04-16,1
深圳,position_detail.php?id=39137&keywords=&tid=0&lid=0,产品/项目类,MIG03-众包交付项目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39125&keywords=&tid=0&lid=0,技术类,SNG16-腾讯音乐业务运维工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39126&keywords=&tid=0&lid=0,设计类,15581-欢乐游戏2D角色设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39128&keywords=&tid=0&lid=0,设计类,15581-欢乐游戏2D角色设计师（深圳）,2018-04-16,1
广州,position_detail.php?id=39130&keywords=&tid=0&lid=0,技术类,WXG03-113 微信开放平台后台开发工程师（广州）,2018-04-16,1
深圳,position_detail.php?id=39117&keywords=&tid=0&lid=0,设计类,15573-手游美术3D场景设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39120&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌直播内容运营（深圳）,2018-04-16,1
上海,position_detail.php?id=39127&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告快消零售行业产品运营（大客户运营）（上海）,2018-04-16,1
北京,position_detail.php?id=39129&keywords=&tid=0&lid=0,职能类,21527-腾讯音乐会计师（北京）,2018-04-16,1
深圳,position_detail.php?id=39132&keywords=&tid=0&lid=0,技术类,SNG07-高级系统测试工程师（深圳）,2018-04-16,3
深圳,position_detail.php?id=39119&keywords=&tid=0&lid=0,设计类,15573-手游3D角色设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39121&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌平台产品运营（深圳）,2018-04-16,1
深圳,position_detail.php?id=39122&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌短视频运营（深圳）,2018-04-16,1
上海,position_detail.php?id=39112&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐视觉导演（上海）,2018-04-16,1
深圳,position_detail.php?id=39115&keywords=&tid=0&lid=0,技术类,TEG05-web前端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39118&keywords=&tid=0&lid=0,设计类,15573-手游场景原画设计师（深圳）,2018-04-16,1
上海,position_detail.php?id=39107&keywords=&tid=0&lid=0,技术类,OMG064-后台开发高级工程师（上海）,2018-04-16,1
深圳,position_detail.php?id=39123&keywords=&tid=0&lid=0,技术类,SNG16-腾讯音乐运营开发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39114&keywords=&tid=0&lid=0,市场类,SNG16-腾讯音乐资源拓展方向品牌主管（深圳）,2018-04-16,1
深圳,position_detail.php?id=39116&keywords=&tid=0&lid=0,产品/项目类,24012-IP文学编剧（深圳）,2018-04-16,1
上海,position_detail.php?id=39105&keywords=&tid=0&lid=0,设计类,OMG064-营销创意产品交互设计师（上海）,2018-04-16,1
上海,position_detail.php?id=39108&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐技术导演（上海）,2018-04-16,1
上海,position_detail.php?id=39109&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐后期导演（上海）,2018-04-16,1
上海,position_detail.php?id=39111&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐文学导演/编剧(上海),2018-04-16,1
北京,position_detail.php?id=39099&keywords=&tid=0&lid=0,,21530-腾讯音乐投资并购总监（北京）,2018-04-16,1
深圳,position_detail.php?id=39102&keywords=&tid=0&lid=0,产品/项目类,23516-狐妖小红娘手游市场营销策划（深圳）,2018-04-16,1
上海,position_detail.php?id=39104&keywords=&tid=0&lid=0,市场类,21530-腾讯音乐艺人统筹(上海),2018-04-16,1
上海,position_detail.php?id=39110&keywords=&tid=0&lid=0,市场类,21530-腾讯音乐综艺宣推项目经理(上海),2018-04-16,1
上海,position_detail.php?id=39113&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐商务导演（上海）,2018-04-16,1
深圳,position_detail.php?id=39101&keywords=&tid=0&lid=0,产品/项目类,23516-狐妖小红娘手游社区运营与用户管理（深圳）,2018-04-16,1
上海,position_detail.php?id=39103&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐音乐导演(上海),2018-04-16,1
上海,position_detail.php?id=39106&keywords=&tid=0&lid=0,产品/项目类,21530-腾讯音乐制片人/资深导演(上海),2018-04-16,1
深圳,position_detail.php?id=39093&keywords=&tid=0&lid=0,技术类,22090-腾讯视频APP后台开发工程师（深圳）,2018-04-16,3
深圳,position_detail.php?id=39096&keywords=&tid=0&lid=0,技术类,22090-Android开发工程师（深圳）,2018-04-16,3
深圳,position_detail.php?id=39098&keywords=&tid=0&lid=0,,21530-腾讯音乐投资并购总监(深圳),2018-04-16,1
北京,position_detail.php?id=39087&keywords=&tid=0&lid=0,技术类,25578-医疗AI后台开发工程师,2018-04-16,1
北京,position_detail.php?id=39090&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器垂类建设高级产品经理/产品负责人（北京）,2018-04-16,1
深圳,position_detail.php?id=39095&keywords=&tid=0&lid=0,设计类,22090-视觉设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39097&keywords=&tid=0&lid=0,技术类,22090-视频播放质量测试工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39100&keywords=&tid=0&lid=0,产品/项目类,23516-狐妖小红娘手游数据分析（深圳）,2018-04-16,1
北京,position_detail.php?id=39089&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器PUSH推荐策略产品经理（北京）,2018-04-16,1
北京,position_detail.php?id=39091&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器高级产品经理（北京）,2018-04-16,1
北京,position_detail.php?id=39092&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器活动运营经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39081&keywords=&tid=0&lid=0,市场类,25666-政府行业解决方案经理,2018-04-16,1
成都,position_detail.php?id=39084&keywords=&tid=0&lid=0,市场类,25666-政府行业解决方案经理,2018-04-16,1
深圳,position_detail.php?id=39086&keywords=&tid=0&lid=0,技术类,22090-前端开发工程师（深圳）,2018-04-16,1
北京,position_detail.php?id=39073&keywords=&tid=0&lid=0,技术类,17757-腾讯网个性化资讯推荐算法工程师（北京）,2018-04-16,1
北京,position_detail.php?id=39094&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器内容运营（北京）,2018-04-16,1
上海,position_detail.php?id=39083&keywords=&tid=0&lid=0,市场类,25666-政府行业解决方案经理,2018-04-16,1
深圳,position_detail.php?id=39085&keywords=&tid=0&lid=0,市场类,25666-教育云商务拓展（深圳/武汉/成都/西安/北京/上海）,2018-04-16,2
北京,position_detail.php?id=39088&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器高级内容产品经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39075&keywords=&tid=0&lid=0,产品/项目类,SNG02-腾讯云车联网定制高级产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39076&keywords=&tid=0&lid=0,产品/项目类,SNG02-腾讯云车联网定制产品经理（深圳）,2018-04-16,1
北京,position_detail.php?id=39078&keywords=&tid=0&lid=0,职能类,AQ-行业合作经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39080&keywords=&tid=0&lid=0,技术类,GH-高级Java后台开发工程师（深圳）,2018-04-16,1
北京,position_detail.php?id=39069&keywords=&tid=0&lid=0,市场类,23671-企鹅号商务合作高级经理（综合内容版权方向）,2018-04-16,1
深圳,position_detail.php?id=39071&keywords=&tid=0&lid=0,设计类,SA-腾讯社交广告视觉设计师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39077&keywords=&tid=0&lid=0,产品/项目类,SNG02-腾讯云旅游产品高级产品经理（深圳）,2018-04-16,1
北京,position_detail.php?id=39079&keywords=&tid=0&lid=0,职能类,AQ-安全运营经理（北京）,2018-04-16,1
北京,position_detail.php?id=39082&keywords=&tid=0&lid=0,市场类,25666-政府行业解决方案经理,2018-04-16,1
北京,position_detail.php?id=39070&keywords=&tid=0&lid=0,市场类,23671-企鹅号商务合作高级经理（广告方向）,2018-04-16,1
深圳,position_detail.php?id=39072&keywords=&tid=0&lid=0,职能类,WH-企业文化经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39061&keywords=&tid=0&lid=0,产品/项目类,SNG01-腾讯文档功能运营（深圳）,2018-04-16,1
北京,position_detail.php?id=39065&keywords=&tid=0&lid=0,产品/项目类,16811-剧本策划经理（北京）,2018-04-16,1
北京,position_detail.php?id=39067&keywords=&tid=0&lid=0,市场类,23671-企鹅号商务合作高级经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39055&keywords=&tid=0&lid=0,技术类,18436-金融数据挖掘高级工程师（深圳）,2018-04-16,3
上海,position_detail.php?id=39058&keywords=&tid=0&lid=0,产品/项目类,18425-金融安全产品经理（上海）,2018-04-16,1
深圳,position_detail.php?id=39064&keywords=&tid=0&lid=0,技术类,24012-Unity客户端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39066&keywords=&tid=0&lid=0,产品/项目类,16810-动漫平台运营经理（深圳）,2018-04-16,1
